task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar	cpus
63	02/949209	65681848	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_PRE (COLO829-PB-TO)	CACHED	0	2026-01-08 17:55:29.547	4m 36s	3m 55s	380.7%	132.8 MB	484.1 MB	62.5 GB	682 B	2
133	23/dd356a	65684032	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MOSDEPTH (COLO829-PB)	CACHED	0	2026-01-09 00:22:40.159	2m 51s	1m 33s	475.4%	1.9 GB	2.4 GB	60.9 GB	3.5 MB	6
35	16/42566c	65687309	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:FIBERTOOLSRS_PREDICTM6A (CCS15-PB-TO)	COMPLETED	0	2026-01-09 15:47:53.602	6h 59m 28s	6h 56m 35s	2214.6%	3.3 GB	7 GB	319.4 GB	56.2 GB	24
113	57/463fcd	65683886	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (HG008-PB-TO)	CACHED	0	2026-01-08 23:35:40.075	35.7s	0ms	53.7%	7.3 MB	11.7 MB	12.3 MB	93.9 KB	1
134	70/b2638e	65684114	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_POST (COLO829-PB)	CACHED	0	2026-01-09 00:35:26.597	4m 19s	3m 43s	426.1%	214.3 MB	741.2 MB	60.3 GB	697 B	4
104	63/4ec5d7	65683785	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_POST (HG008-PB)	CACHED	0	2026-01-08 22:55:01.117	4m 15s	3m 23s	394.8%	174.3 MB	549.2 MB	48.7 GB	693 B	2
105	14/8fa466	65683786	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (HG008-PB)	CACHED	0	2026-01-08 22:55:10.021	40.8s	0ms	44.1%	12.3 MB	16.9 MB	12.7 MB	93.8 KB	1
147	9f/e36fa0	65684348	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MINIMAP2_ALIGN (CCS15-ONT)	CACHED	0	2026-01-09 02:53:41.606	1h 55m 45s	1h 14m 10s	1495.4%	48.3 GB	55.2 GB	844.8 GB	871.6 GB	24
112	a3/96c17d	65683889	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (HG008-PB-TO)	CACHED	0	2026-01-08 23:35:50.072	6m 16s	5m 51s	113.0%	7.6 MB	208.4 MB	57.9 GB	5.4 KB	1
108	0d/0114ac	65683794	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MOSDEPTH (HG008-PB)	CACHED	0	2026-01-08 22:55:40.043	2m 41s	1m 28s	487.5%	2.5 GB	3 GB	49.3 GB	2.6 MB	6
86	9e/1381ce	65682707	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:CLAIRSTO (COLO829-ONT-TO)	CACHED	0	2026-01-08 20:23:39.779	6h 35m 37s	2h 3m 19s	1762.9%	114 GB	115.3 GB	3 TB	844 GB	24
198	2e/8ba691	65684466	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (CCS15-ONT)	CACHED	0	2026-01-09 04:50:05.913	30.7s	5s	2.2%	6.3 MB	10.5 MB	38.8 MB	93.9 KB	1
116	b1/48e178	65683897	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MOSDEPTH (HG008-PB-TO)	CACHED	0	2026-01-08 23:36:10.070	2m 51s	1m 41s	486.1%	1.9 GB	2.4 GB	58.5 GB	2.8 MB	6
196	1b/93067f	65684463	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (CCS15-ONT)	CACHED	0	2026-01-09 04:49:35.915	8m 51s	7m 57s	111.0%	11 MB	208.4 MB	100.3 GB	5.4 KB	1
